,GFP,AHL,ARA,Condition,AHL-ARA
2,12620.883497820518,0,0,HetOFF,0-0
3,118569.42986032863,0,1,HetOFF,0-1
10,5204.694489720347,1,0,HetOFF,1-0
11,4569.498229085385,1,1,HetOFF,1-1
0,4820.437111899914,0,0,HetON,0-0
1,21256.123182530173,0,1,HetON,0-1
8,2384.93569024131,1,0,HetON,1-0
9,2984.967276690112,1,1,HetON,1-1
4,21390.76794175479,0,0,HomOFF,0-0
5,149630.14372886525,0,1,HomOFF,0-1
12,9990.979444597097,1,0,HomOFF,1-0
13,39651.610173238165,1,1,HomOFF,1-1
6,6635.095587012116,0,0,HomON,0-0
7,153841.0412773568,0,1,HomON,0-1
14,3092.9161617935774,1,0,HomON,1-0
15,14242.608609799177,1,1,HomON,1-1
